mo,value
0,10521
1,9769
2,10227
3,13467
4,13274
5,11550
6,8444
7,7708
8,8022
9,8552
10,8111
11,10317
12,11011
13,8768
14,11019
15,13129
16,11740
17,10830
18,7156
19,7584
20,9029
21,10145
22,10362
23,8889
24,8472
25,8197
26,8164
27,8933
28,9908
29,10528
30,7474
31,6586
32,5626
33,5586
34,9204
35,9472
36,9423
37,8442
38,9187
39,10525
40,9467
41,9664
42,6865
43,6891
44,8128
45,8400
46,8584
47,9157
