mo,value
0,7804
1,7198
2,9948
3,9790
4,10273
5,8910
6,7219
7,3783
8,3203
9,4058
10,5510
11,7506
12,8027
13,7571
14,9134
15,9650
16,10279
17,8489
18,6184
19,3148
20,2734
21,3188
22,4645
23,7656
24,7039
25,6822
26,8362
27,9026
28,8685
29,8388
30,6094
31,3172
32,2719
33,2870
34,3586
35,6861
36,7376
37,6403
38,9282
39,9089
40,9372
41,8738
42,6227
43,3320
44,2755
45,2982
46,4839
47,7347
